"date","loessfit","loess.min","loess.max"
2014-08-29,45.4701227983809,56.0746743989736,34.8655711977882
2014-08-30,45.2828755815738,55.5482965637765,35.017454599371
2014-08-31,45.0987330689288,55.0419014730466,35.1555646648109
2014-09-01,44.918422357733,54.5574961328444,35.2793485826215
2014-09-02,44.7418155704921,54.0950595969915,35.3885715439927
2014-09-03,44.568287430221,53.6537268720106,35.4828479884313
2014-09-04,44.3978189349703,53.2338993934493,35.5617384764914
2014-09-05,44.2303910827908,52.8359463968416,35.62483576874
2014-09-06,44.0659848717332,52.4601905291628,35.6717792143036
2014-09-07,43.9045812998482,52.1068924072305,35.7022701924658
2014-09-08,43.7461613651864,51.7762347574532,35.7160879729196
2014-09-09,43.5907060657987,51.4683069581262,35.7131051734713
2014-09-10,43.4381963997358,51.1830909468668,35.6933018526047
2014-09-11,43.2886133650482,50.9204495176548,35.6567772124416
2014-09-12,43.1419379597868,50.6801179858104,35.6037579337632
2014-09-13,42.9981511820023,50.4617000308339,35.5346023331707
2014-09-14,42.8572340297454,50.2646682431061,35.4497998163846
2014-09-15,42.7191675010667,50.0883695312215,35.3499654709119
2014-09-16,42.5839325940171,49.9320351418772,35.2358300461569
2014-09-17,42.4515103066471,49.7947946629994,35.1082259502949
2014-09-18,42.3218816370076,49.6756930786521,34.9680701953631
2014-09-19,42.1950275831492,49.5737097606689,34.8163454056296
2014-09-20,42.0709291431227,49.4877782325051,34.6540800537404
2014-09-21,41.9495673149788,49.4168056165396,34.482329013418
2014-09-22,41.8309230967681,49.3596908485825,34.3021553449537
2014-09-23,41.7149774865414,49.3153409740096,34.1146139990732
2014-09-24,41.6017114823494,49.2826850892275,33.9207378754713
2014-09-25,41.4911060822429,49.2606857271233,33.7215264373624
2014-09-26,41.3831422842724,49.248347683334,33.5179368852108
2014-09-27,41.2778010864888,49.2447244303367,33.3108777426409
2014-09-28,41.1750634869427,49.2489223667493,33.1012046071362
2014-09-29,41.0749798002155,49.2592595184524,32.8907000819786
2014-09-30,40.9776195521219,49.2741368023772,32.6811023018666
2014-10-01,40.882992557563,49.2928996182692,32.4730854968568
2014-10-02,40.7911086314399,49.3149827441966,32.2672345186833
2014-10-03,40.7019775886537,49.3399001599557,32.0640550173517
2014-10-04,40.6156092441054,49.3672354825341,31.8639830056767
2014-10-05,40.5320134126961,49.3966331144332,31.667393710959
2014-10-06,40.4511999093269,49.4277901493706,31.4746096692832
2014-10-07,40.3731785488988,49.4604490408572,31.2859080569405
2014-10-08,40.297959146313,49.4943910133405,31.1015272792855
2014-10-09,40.2255515164704,49.5294301796013,30.9216728533396
2014-10-10,40.1559654742722,49.5654083191465,30.746522629398
2014-10-11,40.0892108346194,49.6021902683275,30.5762314009114
2014-10-12,40.0252974124132,49.6396598722252,30.4109349526011
2014-10-13,39.9642350225544,49.6777164498061,30.2507535953028
2014-10-14,39.9060334799444,49.7162717266279,30.0957952332609
2014-10-15,39.8507025994841,49.7552471928675,29.9461580061006
2014-10-16,39.7982521960745,49.7945718482592,29.8019325438898
2014-10-17,39.7486920846168,49.8341802994124,29.6632038698212
2014-10-18,39.702032080012,49.8740111787517,29.5300529812723
2014-10-19,39.6582819971612,49.9140058579075,29.402558136415
2014-10-20,39.6174516509655,49.9541074317255,29.2807958702056
2014-10-21,39.579550856326,49.994259952153,29.164841760499
2014-10-22,39.5445894281436,50.0344078940969,29.0547709621903
2014-10-23,39.5125771813196,50.0744958379621,28.950658524677
2014-10-24,39.4835239307549,50.1144683559826,28.8525795055272
2014-10-25,39.4574394913506,50.1542700916927,28.7606088910084
2014-10-26,39.4343336780078,50.1938460239746,28.674821332041
2014-10-27,39.4142163056276,50.2331419090871,28.595290702168
2014-10-28,39.397097189111,50.2721048959683,28.5220894822536
2014-10-29,39.3829861433591,50.3106843119147,28.4552879748036
2014-10-30,39.371892983273,50.3488326175085,28.3949533490376
2014-10-31,39.3638275237538,50.3865065313986,28.3411485161091
2014-11-01,39.3604427612923,50.4193089413057,28.3015765812789
2014-11-02,39.3632598125352,50.4434342442577,28.2830853808127
2014-11-03,39.3720906726174,50.4598119401547,28.2843694050802
2014-11-04,39.386747336674,50.4694669245215,28.3040277488264
2014-11-05,39.4070417998398,50.4735044628377,28.3405791368418
2014-11-06,39.4327860572498,50.4730965612438,28.3924755532558
2014-11-07,39.4637921040389,50.4694691262886,28.4581150817892
2014-11-08,39.4998719353421,50.4638894005569,28.5358544701272
2014-11-09,39.5408375462943,50.4576532419066,28.624021850682
2014-11-10,39.5865009320305,50.4520718896831,28.7209299743778
2014-11-11,39.6366740876855,50.4484579386108,28.8248902367602
2014-11-12,39.6911690083944,50.4481103258113,28.9342276909776
2014-11-13,39.7497976892921,50.452298232752,29.0472971458322
2014-11-14,39.8123721255135,50.4622439139243,29.1625003371027
2014-11-15,39.8787043121935,50.4791045870505,29.2783040373365
2014-11-16,39.9486062444672,50.5039536516566,29.3932588372777
2014-11-17,40.0218899174694,50.5377616363766,29.5060181985621
2014-11-18,40.0983673263351,50.5813773994274,29.6153572532427
2014-11-19,40.1778504661991,50.6355102078438,29.7201907245545
2014-11-20,40.2601513321966,50.7007133850219,29.8195892793714
2014-11-21,40.3450819194624,50.777370230104,29.9127936088208
2014-11-22,40.4324542231314,50.8656828681631,29.9992255780997
2014-11-23,40.5220802383386,50.9656645849371,30.0784958917401
2014-11-24,40.6137719602189,51.0771360399883,30.1504078804496
2014-11-25,40.7073413839073,51.1997255515602,30.2149572162545
2014-11-26,40.8026005045388,51.3328734253943,30.2723275836833
